SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,SPP_CHANGE,START_NA,END_NA,LUMP_TO,NA_NOTE,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
ANSP,Anthopleura,Aggregating anemone,ANSP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,100696,Genus,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANAR,Anthopleura artemisia,Moonglow Anemone,ANAR,.,.,.,INVERT,QUAD,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,283337,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANAR,Anthopleura artemisia,Moonglow Anemone,ANAR,.,.,.,INVERT,UPC,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,283337,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
ANSO,Anthopleura sola,Aggregating anemone,ANSO,.,.,.,INVERT,UPC,LUMP,,,ANSP,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,240753,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Actiniidae,Anthopleura,.,.
UNAN,Anthozoa,Unidentified anemone,UNAN,.,.,.,INVERT,QUAD,REMOVE,,,,Remove - counted in 2003-2004 in addition to ANAR; may have been Phyllactis,PLANKTIVORE,HARD,SESSILE,SOLITARY,1292,Class,Animalia,Cnidaria,Anthozoa,.,.,.,.,.
UNAN,Anthozoa,Unidentified anemone,UNAN,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,1292,Class,Animalia,Cnidaria,Anthozoa,.,.,.,.,.
APCA,Aplysia californica,California Brown Sea Hare,APCA,.,2,40,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,240765,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,.,.
APVA,Aplysia vaccaria,California Black Sea Hare,APVA,.,2,45,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,568031,Species,Animalia,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,.,.
CUKE,Apostichopus californicus,California Sea Cucumber,CUKE,.,12,30,INVERT,SWATH,KEEP,,,,,DEPOSITFEEDER,HARD,MOBILE,SOLITARY,529363,Species,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,.,.
PAPA,Apostichopus parvimensis,Warty Sea Cucumber,PAPA,.,5,45,INVERT,SWATH,KEEP,,,,,DEPOSITFEEDER,HARD,MOBILE,SOLITARY,529435,Species,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Apostichopus,.,.
UM,Arthropoda,Unidentifiable tube mat,UM,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,1065,Phylum,Animalia,Arthropoda,.,.,.,.,.,.
AL,Astrangia haimei,Aggregating cup Coral,AL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,287121,Species,Animalia,Cnidaria,Anthozoa,Scleractinia,Rhizangiidae,Astrangia,.,.
ASAR,Astropecten armatus,,ASAR,.,.,.,INVERT,SWATH,REMOVE,7/1/07,7/1/30,,stopped surveying after 2007; removed because predominately sand species;,MESOCARNIVORE,HARD,MOBILE,SOLITARY,292851,Species,Animalia,Echinodermata,AsteroideaÊ,Paxillosida,Astropectinidae,AstropectenÊ,.,.
AUFL,Aulorhynchus flavidus,Tube-Snout,AUFL,.,2,20,FISH,FISH,KEEP,,,,,MICROCARNIVORE,SOFT,MOBILE,SOLITARY,279839,Species,Animalia,Chordata,Actinopterygii,Gasterosteiformes,Aulorhynchidae,Aulorhynchus,.,.
BAEL,Balanophyllia elegans,Orange Cup Coral,BAEL,.,0.1,2,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,286920,Species,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,.,.
BAEL,Balanophyllia elegans,Orange Cup Coral,BAEL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,286920,Species,Animalia,Cnidaria,Anthozoa,Scleractinia,Dendrophylliidae,Balanophyllia,.,.
BRSP,Barentsia,.,BRSP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,111795,Genus,Animalia,Entoprocta,.,.,Barentsiidae,Barentsia,.,.
BO,Bossiella orbigniana,.,BO,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372744,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,.,.
BO,Bossiella orbigniana,.,BO,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372744,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Bossiella,.,.
BOTH,Bothid,Unidentified Flatfish spp.,BOTH,.,6,36,FISH,FISH,KEEP,,,,,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,125576,Family,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,.,.,.
BOPS,Botrylloides spp.,,BOPS,.,.,.,INVERT,UPC,LUMP,,,UT,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
BFRE,Brachyistius frenatus,Kelp Surfperch,BFRE,.,3,18,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240721,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Brachyistius,.,.
ECB,Bryozoa,Encrusting Bryozoan,ECB,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,146142,Phylum,Animalia,Bryozoa,.,.,.,.,.,.
UAB,Bryozoa,Unidentified Arborescent Bryozoan,UAB,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,146142,Phylum,Animalia,Bryozoa,.,.,.,.,.,.
BN,Bugula neritina,.,BN,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,111158,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugula,.,.
BCAL,Bugulina californica,Spiral Bryozoan,BCAL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,833997,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Bugulidae,Bugulina,.,.
COCA,Californiconus californicus,Califonia Cone Snail,COCA,.,0.4,4,INVERT,QUAD,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,AGGREGATED,581058,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Conidae,Californiconus,.,.
CAL,Calliarthron cheilosporioid,.,CAL,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,494958,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,.,.
CAL,Calliarthron cheilosporioid,.,CAL,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,494958,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Calliarthron,.,.
CF,Callophyllis flabellulata,.,CF,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,496241,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,.,.
CF,Callophyllis flabellulata,.,CF,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,496241,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Kallymeniaceae,Callophyllis,.,.
CASP,Cancer,Cancer Crab,CASP,.,2,20,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,106876,Genus,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Cancer,.,.
CAPR,Caulolatilus princeps,Ocean Whitefish,CAPR,.,20,45,FISH,FISH,KEEP,,,,,MICROCARNIVORE,.,MOBILE,SOLITARY,276217,Species,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae,Caulolatilus,.,.
CESP,Cellaria,.,CESP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,110869,Genus,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Cellariidae,Cellaria,.,.
COST,Celleporina robertsoniae,Orange Byozoan,COST,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,469568,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Celleporidae,Celleporina,Costazia,robertsoniae
CECO,Centrostephanus coronatus,Crowned Sea Urchin,CECO,.,2,8,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,513165,Species,Animalia,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Centrostephanus,.,.
CVEN,Cephaloscyllium ventriosum,Swell Shark,CVEN,.,20,75,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,277105,Species,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Cephaloscyllium,.,.
FTHR,Ceramiales,Ceramiales Complex: Neoptilota Ptilota Rhodoptilum Pterosiphonia,FTHR,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,860,Order,Plantae,Rhodophyta,Florideophyceae,Ceramiales,.,.,.,.
FTHR,Ceramiales,Ceramiales Complex: Neoptilota Ptilota Rhodoptilum Pterosiphonia,FTHR,.,.,.,ALGAE,UPC,KEEP,7/1/00,7/1/08,,Previously not recorded; likely due to abundance too low to detect,PRODUCER,HARD,SESSILE,SOLITARY,860,Order,Plantae,Rhodophyta,Florideophyceae,Ceramiales,.,.,.,.
CHOV,Chaceia ovoidea,Wart-Neck Piddock,CHOV,.,1.49,5,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,367969,Species,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,Chaceia,.,.
CHOV,Chaceia ovoidea,Wart-Neck Piddock,CHOV,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,367969,Species,Animalia,Mollusca,Bivalvia,Myida,Pholadidae,Chaceia,.,.
CSAT,Cheilotrema saturnum,Black Croaker,CSAT,.,8,42,FISH,FISH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,280137,Species,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Cheilotrema,.,.
CHPR,Chelyosoma productum,Disc-Top Turnicate,CHPR,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,250013,Species,Animalia,Chordata,Ascidiacea,Phlebobranchia,Corellidae,Chelyosoma,.,.
FG,Chlorophyta,Filamentous green,FG,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,801,Phylum,Plantae,Chlorophyta,.,.,.,.,.,.
CC,Chondracanthus ,.,CC,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144153,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Mazzaella or Gigartina,californica
CC,Chondracanthus ,.,CC,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144153,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Mazzaella or Gigartina,californica
CZ,Chondracanthus spinosus,.,CZ,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371725,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Gigartina,spinosa
CZ,Chondracanthus spinosus,.,CZ,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371725,Species,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Chondracanthus,Gigartina,spinosa
UT,Chordata,Unidentified compound tunicate,UT,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,1821,Phylum,Animalia,Chordata,.,.,.,.,.,.
CPUN,Chromis punctipinnis,Blacksmith,CPUN,.,1,45,FISH,FISH,KEEP,,,,,PLANKTIVORE,HARD,MOBILE,SOLITARY,273751,Species,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Chromis,.,.
CSTI,Citharichthys stigmaeus,Speckled Sanddab,CSTI,.,2,16,FISH,CRYPTIC FISH,KEEP,,,,,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,275696,Species,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,.,.
CG,Cladophora graminea,.,CG,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371785,Species,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,.,.
CG,Cladophora graminea,.,CG,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371785,Species,Plantae,Chlorophyta,Ulvophyceae,Cladophorales,Cladophoraceae,Cladophora,.,.
CL,Clavelina,Light Bulb Tunicate,CL,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,103453,Genus,Animalia,Chordata,Ascidiacea,Aplousobranchia,Clavelinidae,Clavelina,.,.
COF,Codium fragile,Dead Man's Fingers,COF,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145086,Species,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,.,.
COF,Codium fragile,Dead Man's Fingers,COF,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145086,Species,Plantae,Chlorophyta,Ulvophyceae,Bryopsidales,Codiaceae,Codium,.,.
CP,Colpomenia,.,CP,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144253,Genus,Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Colpomenia,.,.
CP,Colpomenia,.,CP,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144253,Genus,Chromista,Ochrophyta,Phaeophyceae,Scytosiphonales,Scytosiphonaceae,Colpomenia,.,.
CO,Corallina officinalis,Pink Feather Coralline,CO,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145108,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina,officinalis
CO,Corallina officinalis,Pink Feather Coralline,CO,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145108,Species,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Corallina,Corallina,officinalis
EC,Corallinales,Encrusting Coralline,EC,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,15308,Order,Plantae,Rhodophyta,Florideophyceae,Corallinales,.,.,.,.
CY,Corynactis californica,Club-Tipped Anemone,CY,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,283836,Species,Animalia,Cnidaria,Anthozoa,Corallimorpharia,Corallimorphidae,Corynactis,.,.
COTT,Cottidae,Unidentified Sculpin Spp,COTT,.,1,25,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,125589,Family,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,.,.,.
CRGI,Crassadoma gigantea,Rock Scallop,CRGI,.,2,25,INVERT,SWATH,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,240774,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,Hinnites,giganteus
CRGI,Crassadoma gigantea,Rock Scallop,CRGI,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,240774,Species,Animalia,Mollusca,Bivalvia,Pectinida,Pectinidae,Crassadoma,Hinnites,giganteus
CROC,Crisia occidentalis,White Tuft Bryozoans,CROC,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,111700,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Crisiidae,Crisia,.,.
CRYP,Cryptopleura,.,CRYP,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,143882,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,.,.
CRYP,Cryptopleura,.,CRYP,.,.,.,ALGAE,UPC,KEEP,7/1/00,7/1/07,,May have been previously misidentified as BF but assumed to be zero,PRODUCER,HARD,SESSILE,SOLITARY,143882,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,.,.
BF,Cryptopleura ruprechtiana,Grape Tounge,BF,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372561,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Botryoglossum,farlowianum
BF,Cryptopleura ruprechtiana,Grape Tounge,BF,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372561,Species,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Botryoglossum,farlowianum
CUSP,Cucumaria,.,CUSP,.,0.8,8,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,123479,Genus,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSP,Cucumaria,.,CUSP,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,123479,Genus,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUMI,Cucumaria miniata,Red Sea Cucumber,CUMI,.,.,.,INVERT,QUAD,LUMP,,,CUSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,225807,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUMI,Cucumaria miniata,Red Sea Cucumber,CUMI,.,.,.,INVERT,UPC,LUMP,,,CUSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,225807,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUPI,Cucumaria piperata,Salt and Pepper Cucumber,CUPI,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529459,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSA,Cucumaria salma,.,CUSA,.,.,.,INVERT,QUAD,LUMP,,,CUSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529193,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CUSA,Cucumaria salma,.,CUSA,.,.,.,INVERT,UPC,LUMP,,,CUSP,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529193,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Cucumariidae,Cucumaria,.,.
CAGG,Cymatogaster aggregata,Shiner Surfperch,CAGG,.,3,28,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,280461,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Cymatogaster,.,.
ES,Demospongiae,Encrusting sponge,ES,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,164811,Class,Animalia,Porifera,Demospongiae,.,.,.,.,.
DIL,Dermasterias imbricata,Leather Star,DIL,adult (>2.5cm),2.5,38,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240771,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,.,.
DIS,Dermasterias imbricata,Leather Star,DIL,juvenile (<2.5cm),1,2.5,INVERT,QUAD,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240771,Species,Animalia,Echinodermata,Asteroidea,Valvatida,Asteropseidae,Dermasterias,.,.
