SP_CODE,SCIENTIFIC_NAME,COMMON_NAME,ADULT,SIZE,SIZE_MIN_REF,SIZE_MAX_REF,GROUP,SURVEY,SPP_CHANGE,START_NA,END_NA,LUMP_TO,NA_NOTE,GUILD,SUBSTRATE_TYPE,MOBILITY,GROWTH_MORPH,APHIAID,RANK,TAXON_KINGDOM,TAXON_PHYLUM,TAXON_CLASS,TAXON_ORDER,TAXON_FAMILY,TAXON_GENUS,TAXON_FORMER_GENUS,TAXON_FORMER_SPECIES
DL,Desmarestia ligulata,Acid Weed,DL,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145309,Species,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,.,.
DL,Desmarestia ligulata,Acid Weed,DL,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,145309,Species,Chromista,Ochrophyta,Phaeophyceae,Desmarestiales,Desmarestiaceae,Desmarestia,.,.
DC,Diaperoforma californica,Southern Staghorn Bryozoan,DC,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,472584,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,.,Diaperoforma,Diaperoecia,californica
DU,Dictyopteris undulata,.,DU,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372001,Species,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyopteris,.,.
DP,Dictyota,.,DP,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144086,Genus,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,.,.
DP,Dictyota,.,DP,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144086,Genus,Chromista,Ochrophyta,Phaeophyceae,Dictyotales,Dictyotaceae,Dictyota,.,.
DISP,Didemnum spp.,,DISP,.,.,.,INVERT,UPC,LUMP,,,UT,,.,.,.,.,.,.,.,.,.,.,.,.,.,.
DIOR,Diopatra ornata,Ornate Tube Worm,DIOR,.,.,.,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,326964,Species,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,.,.
DIOR,Diopatra ornata,Ornate Tube Worm,DIOR,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,SOFT,SESSILE,SOLITARY,326964,Species,Animalia,Annelida,Polychaeta,Eunicida,Onuphidae,Diopatra,.,.
ARUD,Discophyton rudyi,Octocoral,ARUD,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,289828,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Alcyoniidae,Discophyton,.,.
DOFE,Dodecaceria fewkesi,Colonial Tube Worm,DOFE,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,327435,Species,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,Dodecaceria,.,.
FB,Ectocarpaceae,Filamentous brown & Diatom Mats,FB,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,143717,Family,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,.,.,.
FB,Ectocarpaceae,Filamentous brown & Diatom Mats,FB,.,.,.,ALGAE,UPC,KEEP,,,,Diatoms added to this category for consistency among years,PRODUCER,HARD,SESSILE,AGGREGATED,143717,Family,Chromista,Ochrophyta,Phaeophyceae,Ectocarpales,Ectocarpaceae,.,.,.
EGJ,Egregia menziesii,Feather Boa Kelp,EGME,juvenile (<1m height),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGJ,Egregia menziesii,Feather Boa Kelp,EGME,juvenile (<1m height),.,.,ALGAE,QUAD,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGME,Egregia menziesii,Feather Boa Kelp,EGME,(>1m height),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EGME,Egregia menziesii,Feather Boa Kelp,EGME,(>1m height),1,30,ALGAE,SWATH,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EH,Egregia menziesii,.,EH,holdfast,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372502,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Egregia,.,.
EA,Eisenia arborea,Southern Palm Kelp,EA,adult (> 5cm stipe),4,80,ALGAE,SWATH,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EAH,Eisenia arborea,.,EAH,holdfast,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EAJ,Eisenia arborea,.,EA,juvenile (< 5cm stipe),.,.,ALGAE,QUAD,KEEP,7/1/00,7/1/04,,added species in 2004; likely absent on mainland,PRODUCER,HARD,SESSILE,SOLITARY,371990,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,Eisenia,.,.
EMBI,Embiotoca,Unidentified Surfperch Spp.,EMBI,.,4,25,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240718,Genus,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
EJAC,Embiotoca jacksoni,Black Surfperch,EJAC,.,4,40,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240746,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
ELAT,Embiotoca lateralis,Striped Surfperch,ELAT,.,6,30,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240740,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,.,.
AR,Eudistoma psammion,Sand Turnicate,AR,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,250242,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Polycitoridae,Eudistoma,Archidistoma,spp.
EUPO,Eudistylia polymorpha,Feather Duster Worm,EUPO,.,0.25,3,INVERT,QUAD,KEEP,7/1/00,1/1/08,,Previously lumped with SABW; Early SABW data are likely predominately EUPO,PLANKTIVORE,HARD,SESSILE,SOLITARY,333269,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,.,.
EUPO,Eudistylia polymorpha,Feather Duster Worm,EUPO,.,.,.,INVERT,UPC,KEEP,7/1/00,1/1/08,,Previously lumped with SABW; Early SABW data are likely predominately EUPO,PLANKTIVORE,HARD,SESSILE,SOLITARY,333269,Species,Animalia,Annelida,Polychaeta,Sabellida,Sabellidae,Eudistylia,.,.
EUCL,Euherdmania claviformis,Tunic-Band Compound Turnicate,EUCL,.,.,.,INVERT,UPC,KEEP,7/1/00,7/1/05,,May have been previously recorded as UT; likely too rare to detect prior to 2005,PLANKTIVORE,HARD,SESSILE,AGGREGATED,250653,Species,Animalia,Chordata,Ascidiacea,Aplousobranchia,Euherdmaniidae,Euherdmania,.,.
EUQU,Eupentacta quinquesemita,White Sea Cucumber,EUQU,.,1,8,INVERT,QUAD,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529305,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,.,.
EUQU,Eupentacta quinquesemita,White Sea Cucumber,EUQU,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529305,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Sclerodactylidae,Eupentacta,.,.
DIAT,Fragilariaceae,diatom mat,DIAT,.,.,.,ALGAE,UPC,LUMP,7/1/00,7/1/08,FB,Lumped for consistency among years,PRODUCER,HARD,SESSILE,AGGREGATED,148952,Family,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,.,.,.
GAGA,Galeorhinus galeus,Soupfin Shark,GAGA,.,150,300,FISH,FISH,KEEP,,,,,MACROCARNIVORE,.,MOBILE,SOLITARY,105820,Species,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Triakidae,Galeorhinus,,
GEL,Gelidium,.,GEL,.,.,.,ALGAE,UPC,LUMP,7/1/00,7/1/13,GR,May have been scored as GR prior to 2013 so lumped for consistency among years,PRODUCER,HARD,SESSILE,AGGREGATED,144135,Genus,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
GR,Gelidium,Agarweed,GR,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,144135,Species,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
GR,Gelidium,Agarweed,GR,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,144135,Species,Plantae,Rhodophyta,Florideophyceae,Gelidiales,Gelidiaceae,Gelidium,.,.
CLIN,Gibbonsia,Crevice Kelpfish,CLIN,.,2,21,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,269206,Genus,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Gibbonsia,.,.
GNIG,Girella nigricans,Opaleye,GNIG,.,14,66,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,280865,Species,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,.,.
FASP,Gloiocladia,.,FASP,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144241,Genus,Plantae,Rhodophyta,Florideophyceae,Rhodymeniales,Faucheaceae,Gloiocladia,.,.
GS,Gracilaria,.,GS,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,144188,Genus,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,.,.
GS,Gracilaria,.,GS,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,144188,Genus,Plantae,Rhodophyta,Florideophyceae,Gracilariales,Gracilariaceae,Gracilaria,.,.
GYSP,Gymnogongrus,.,GYSP,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,144168,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,.,.
GYSP,Gymnogongrus,.,GYSP,.,.,.,ALGAE,UPC,KEEP,7/1/00,7/1/08,,May have been previously misidentified as R (likely very low abundance),PRODUCER,HARD,SESSILE,SOLITARY,144168,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Phyllophoraceae,Gymnogongrus,.,.
GYMO,Gymnothorax mordax,California Moray,GYMO,.,30,50,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,271856,Species,Animalia,Chordata,Actinopterygii,Anguilliformes,Muraenidae,Gymnothorax,.,.
XCAL,Haemulon californiensis,Salema,XCAL,.,5,20,FISH,FISH,KEEP,,,,,MESOCARNIVORE,SOFT,MOBILE,SOLITARY,1020317,Species,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulon,.,.
HADE,Halcampa decemtentaculata,Ten-Tentacle Burrowing Anemone,HADE,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,283565,Species,Animalia,Cnidaria,Anthozoa,Actiniaria,Halcampidae,Halcampa,.,.
HSEM,Halichoeres semicinctus ,Rock Wrasse,HSEM,.,3,40,FISH,FISH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,275798,Species,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Halichoeres,.,.
HACO,Haliotis corrugata,Pink Abalone,HACO,.,5,22,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,445308,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HACR,Haliotis cracherodii,Black Abalone,HACR,.,5,20,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,405012,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HAKA,Haliotis kamtschatkana,Threaded Abalone,HAKA,.,.,.,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,405014,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis,kamtschatkana
HARU,Haliotis rufescens,Red Abalone,HARU,.,5,28,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,445357,Species,Animalia,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,.,.
HAGL,Halosaccion glandiforme,Sea Nipples,HAGL,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,372579,Species,Plantae,Rhodophyta,Florideophyceae,Palmariales,Palmariaceae,Halosaccion,.,.
HEFR,Heterodontus francisci,Horn Shark,HEFR,.,35,70,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,276694,Species,Animalia,Chordata,Elasmobranchii,Heterodontiformes,Heterodontidae,Heterodontus,.,.
HPAC,Heteropora pacifica,Northern Staghorn Bryozoan,HPAC,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,718279,Species,Animalia,Bryozoa,Stenolaemata,Cyclostomatida,Heteroporidae,Heteropora,.,.
HROS,Heterostichus rostratus,Giant Kelpfish,HROS,juvenile,.,.,FISH,CRYPTIC FISH,REMOVE,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281075,Species,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,.,.
HROS,Heterostichus rostratus,Giant Kelpfish,HROS,.,3,36,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281075,Species,Animalia,Chordata,Actinopterygii,Perciformes,Clinidae,Heterostichus,.,.
HDEC,Hexagrammos decagrammus,Kelp Greenling,HDEC,.,9,45,FISH,FISH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,240732,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,.,.
HEGR,Hexanchus griseus,Sixgill Shark,HEGR,.,100,300,FISH,FISH,KEEP,,,,,MACROCARNIVORE,HARD,MOBILE,SOLITARY,105833,Species,Animalia,Chordata,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,.,.
HART,Hiatella artica,,HART,.,.,.,INVERT,UPC,REMOVE,,,,Rare; possible misidentification,.,.,.,.,.,.,.,.,.,.,.,.,.,.
UIH,Hydroidolina,Unidentified hydroid,UIH,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,19494,Subclass,Animalia,Cnidaria,Hydrozoa,.,.,.,.,.
HARG,Hyperprosopon argenteum,Walleye Surfperch,HARG,.,7,25,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281098,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hyperprosopon,.,.
HCAR,Hypsurus caryi,Rainbow Surfperch,HCAR,.,3,35,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,240717,Species,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hypsurus,.,.
HRUB,Hypsypops rubicundus,Garibaldi,HRUB,.,3,42,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281130,Species,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Hypsypops,.,.
IR,Iridaea,.,IR,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,325520,Genus,Plantae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,Iridaea,.,.
MT,Jellyella tuberculata,Encrusting Bryozoan,MT,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,396730,Species,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Jellyella,.,.
KEKE,Kelletia kelletii,Kellet's Welk,KEKE,.,2.5,23,INVERT,SWATH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,491054,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,.,.
SKE,Kelletia kelletii,Kellet's Welk,SKE,.,0.3,2.5,INVERT,QUAD,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,491054,Species,Animalia,Mollusca,Gastropoda,Neogastropoda,Buccinidae,Kelletia,.,.
LAFA,Laminaria farlowii,Oar Weed,LAFA,(adult >15cm bld width),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LAFA,Laminaria farlowii,Oar Weed,LAFA,(adult >15cm bld width),15,250,ALGAE,SWATH,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LFJ,Laminaria farlowii,.,LAFA,juvenile (<15cm bld width),.,.,ALGAE,QUAD,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LH,Laminaria farlowii,.,LH,holdfast,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,372698,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Laminaria,.,.
LS,Laurencia,.,LS,.,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,143914,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,.,.
LS,Laurencia,.,LS,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,AGGREGATED,143914,Genus,Plantae,Rhodophyta,Florideophyceae,Ceramiales,Rhodomelaceae,Laurencia,.,.
LHIR,Leiocottus hirundo,Lavender Sculpin,LHIR,.,3,35,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281282,Species,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae,Leiocottus,.,.
LOCH,Leptogorgia chilensis,Red Gorgonian,LOCH,.,3,61,INVERT,SWATH,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,286222,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Leptogorgia,Lophogorgia,chilensis
LOCH,Leptogorgia chilensis,Red Gorgonian,LOCH,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,286222,Species,Animalia,Cnidaria,Anthozoa,Alcyonacea,Gorgoniidae,Leptogorgia,Lophogorgia,chilensis
BLD,Lessoniaceae,Blade Unidentified kelp juveniles,BLD,juvenile (<3cm height),0.5,3,ALGAE,QUAD,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,196198,Family,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,.,.,.
BLD,Lessoniaceae,Blade Unidentified kelp juveniles,BLD,juvenile (<3cm height),.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,196198,Family,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Lessoniaceae,.,.,.
LNUT,Leucilla nuttingi,Urn Sponge,LNUT,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,AGGREGATED,164219,Species,Animalia,Porifera,Calcarea,Leucosolenida,Amphoriscidae,Leucilla,.,.
LINU,Lissothuria nutriens,Scarlet Sea Cucumber,LINU,.,.,.,INVERT,UPC,KEEP,,,,,PLANKTIVORE,HARD,SESSILE,SOLITARY,529527,Species,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Psolidae,Lissothuria,.,.
LIGL,Lithopoma,Wavey Turbin Snail,LIGL,adult (>9 cm),9,20,INVERT,SWATH,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,240760,Genus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,.,.
LIGS,Lithopoma,Wavey Turbin Snail,LIGL,juvenile (<9 cm),1,8.9,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,240760,Genus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,.,.
LIUL,Lithopoma undosum,Smooth Turbin Snail,LIUL,adult (>9 cm),.,.,INVERT,SWATH,LUMP,,,LIGL,,GRAZER,HARD,MOBILE,SOLITARY,240760,Genus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,.,.
LIUS,Lithopoma undosum,Smooth Turbin Snail,LIUL,juvenile (<9 cm),.,.,INVERT,QUAD,LUMP,,,LIGS,,GRAZER,HARD,MOBILE,SOLITARY,240760,Genus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lithopoma,.,.
LI,Lithothrix,Stone Hair,LI,.,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,369846,Genus,Plantae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,Lithothrix,.,.
LOGR,Loxorhynchus grandis,Sheep Crab,LOGR,.,6,40,INVERT,SWATH,KEEP,,,,,MESOCARNIVORE,HARD,MOBILE,SOLITARY,441602,Species,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Loxorhynchus,.,.
LA,Lytechinus pictus,White Sea Urchin,LA,.,1,6,INVERT,QUAD,KEEP,,,,,GRAZER,HARD,MOBILE,SOLITARY,513378,Species,Animalia,Echinodermata,Echinoidea,Camarodonta,Toxopneustidae,Lytechinus,.,.
LDAL,Lythrypnus dalli,Bluebanded Goby,LDAL,.,2,12,FISH,CRYPTIC FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281457,Species,Animalia,Chordata,Actinopterygii,Perciformes,Gobiidae,Lythrypnus,.,.
DMH,Macrocystis pyrifera,Dead Macrocystis Holdfast,DMH,dead holdfast,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
DMH,Macrocystis pyrifera,Dead Macrocystis Holdfast,DMH,dead holdfast,.,.,ALGAE,UPC,NA-FILL,7/1/00,1/1/08,,Previously not recorded; ,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MAPY,Macrocystis pyrifera,Giant Kelp,MAPY,adult,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MAPY,Macrocystis pyrifera,Giant Kelp,MAPY,adult,.,.,ALGAE,KELP,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MH,Macrocystis pyrifera,Giant Kelp Holdfast,MAPY,holdfast,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MH,Macrocystis pyrifera,Giant Kelp Holdfast,MAPY,holdfast,.,.,ALGAE,UPC,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ,Macrocystis pyrifera,Kelp,MAPY,juvenile (<1m height),.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ,Macrocystis pyrifera,Kelp,MAPY,juvenile (<1m height),3,99,ALGAE,QUAD,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ33,Macrocystis pyrifera,Kelp,MAPY,juvenile (0-33cm height),.,.,ALGAE,QUAD,LUMP,,,MPJ,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ66,Macrocystis pyrifera,Kelp,MAPY,juvenile (33.1-66 cm height),.,.,ALGAE,QUAD,LUMP,,,MPJ,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPJ99,Macrocystis pyrifera,Kelp,MAPY,juvenile (66.1-99 cm height),.,.,ALGAE,QUAD,LUMP,,,MPJ,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,stipe,.,.,ALGAE,DETRITUS,KEEP,,,,,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,stipe,.,.,ALGAE,KELP,KEEP,,,,This code was original surveyed in swath from 2000 to 2006; later get merged into the kelp survey,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MPS,Macrocystis pyrifera,Giant Kelp subadult,MAPY,subadult,.,.,ALGAE,SWATH,REMOVE,,,,Remove from swath and add to kelp survey,PRODUCER,HARD,SESSILE,SOLITARY,232231,Species,Chromista,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,Macrocystis,.,.
MCAL,Medialuna californiensis,Halfmoon,MCAL,.,11,45,FISH,FISH,KEEP,,,,,MICROCARNIVORE,HARD,MOBILE,SOLITARY,281541,Species,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Medialuna,.,.
