"year.quarter","ABUR1","ABUR2","AQUE1","AQUE2","AQUE3","AQUE4","AQUE5","AQUE6","BULL1","BULL3","BULL6","CARP1","CARP2","CARP3","CARP4","CARP5","CARP6","CARP7","CARP8","GOLB1","GOLB2","GOLB3","HORA1","HORA2","HORA3","INNP1","INNP2","INNP3","IVEE1","IVEE10","IVEE11","IVEE2","IVEE3","IVEE5","IVEE6","IVEE7","IVEE8","IVEE9","LEAD1","LEAD2","LEAD3","MESA1","MESA2","MESA3","MOHK1","MOHK2","NAPL1","NAPL2","NAPL3","NAPL4","NAPL5","NAPL6","NAPL7","NAPL8","OAKS1","OAKS2","OAKS3","REFU1","REFU2","REFU3","STEP2","STEP3","TANK1","TANK2","TANK3","WOOD1","WOOD2","WOOD3"
2008,0,0,87.6573083333333,25.6028666666667,0,67.9465833333333,255.39875,254.173333333333,0,0,0,0,37.21236,0,0,0,0,0,0,0,0,0,0,8.28375,0,0,0,0,0,10.3248333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38441666666667,0.388504375,0,0,0,0,0,0,0,0,0,0,0.156033333333333,0.156033333333333,28.8901214285714,15.2994625,0.45785625,0,0,0,7.14091666666667,71.7783857142857,0,0,0
2008.25,0,0,365.562222222222,257.011944444444,0,101.575277777778,379.233208333333,214.164555555556,0,0,0,9.31916666666667,550.31380952381,0.355128875,0.209011111111111,18.1255555555556,1.02297222222222,0.382774444444444,6.60055,1.24895761904762,1.12136,46.0224471428571,0,0.430343888888889,0.0949851428571429,280.021625,121.211388888889,29.2408888888889,126.419208333333,105.087722222222,17.4260555555556,121.087458333333,17.3598333333333,4.53622222222222,8.66525925925926,89.4083888888889,117.904571428571,0,0.00230438888888889,0.100091428571429,0,0,121.134583333333,0,20.19825,3.51275,0,0,0,0,0,0,0,0,0,0,0,349.073333333333,437.129166666667,1.77145833333333,0,0,34.1123333333333,221.8655,122.493428571429,12.7652916666667,0,299.420555555556
2008.5,0,0,117.534611111111,77.0511666666667,0,29.8508333333333,164.864583333333,53.7758333333333,0.0804875,0,0,197.702166666667,379.53380952381,16.0551833333333,407.495,142.857611111111,0,94.9427777777778,157.420777777778,0,0,5.24595238095238,0,0,0,425.671916666667,294.851666666667,3.06422222222222,15.6215958333333,9.59661111111111,0,15.4708583333333,298.82775,3.96744444444444,38.644,25.7303888888889,62.329619047619,0,0,0,0,0.113389047619048,6.79138333333333,54.3972777777778,42.2744208333333,24.5075458333333,0,0,0,0,0,0,0,0,0,0,0,270.817904761905,372.553333333333,0,0,0,15.5002777777778,81.9277777777778,39.7654285714286,0,0,169.558888888889
2008.75,0,0,205.521166666667,158.0215,0,41.2610711111111,105.354291666667,114.984333333333,44.288125,59.8927916666667,60.9521666666667,87.9712222222222,30.8514761904762,265.339166666667,207.806777777778,31.4393888888889,36.3395,146.184444444444,117.582277777778,29.9871904761905,18.2269444444444,0,0,0,0,319.589125,467.231666666667,0,213.173333333333,407.126666666667,86.4094444444444,304.03625,572.795833333333,208.525888888889,282.105037037037,26.4843333333333,52.0713333333333,0,0,0,0,0.0895861904761905,0.0698620833333333,11.5781666666667,97.023875,111.067416666667,0,0,0,0,0,0,0,0,0,0,0,158.340649206349,312.151875,1.4948,0.175211111111111,0.142504761904762,30.7248333333333,94.7600555555556,79.0466428571429,12.732875,0,236.501555555556
2009,0,0,389.422555555556,299.920055555556,6.71611111111111,264.9785,425.399166666667,362.539444444444,123.944708333333,105.983416666667,121.501333333333,173.465777777778,34.8919523809524,326.049708333333,174.934166666667,64.6764444444444,90.8683333333333,306.346,169.991111111111,453.031142857143,473.870277777778,195.685476190476,46.5245238095238,4.57511111111111,14.466,367.294958333333,464.002222222222,152.404388888889,456.9225,399.58,183.067222222222,459.75,577.1875,709.036666666667,696.792962962963,257.234944444444,325.307380952381,0,71.4542222222222,107.124,32.9806666666667,3.64771428571429,61.73675,343.112,473.911666666667,608.1975,0,0,0,0,0,0,0,0,0,0,0,287.457523809524,199.765208333333,2.67841666666667,161.887833333333,73.2310952380952,108.530166666667,178.702611111111,265.605904761905,170.556625,261.694944444444,546.695555555556
2009.25,0,0,248.268333333333,521.180833333333,0,388.613333333333,416.72375,351.94,220.28125,130.23325,186.591583333333,192.141666666667,56.6146396825397,272.342916666667,90.8489744444445,32.0411111111111,166.180555555556,237.242111111111,132.266666666667,712.953428571429,706.835333333333,430.81619047619,150.922011904762,166.656666666667,78.0290476190476,271.332916666667,550.562777777778,91.0722222222222,501.840833333333,497.986111111111,378.722777777778,581.972083333333,601.345,772.433333333333,782.167407407407,219.167222222222,229.189523809524,0,124.264888888889,171.621666666667,69.2833333333333,200.409428571429,274.321625,488.914444444444,805.50825,888.389166666667,0,0,0,0,0,0,0,0,0,0,0,386.859047619048,387.454583333333,117.613333333333,305.686666666667,128.394047619048,93.6705555555556,192.923444444444,138.554285714286,228.529333333333,404.727222222222,400.803888888889
2009.5,0,0,2.24672222222222,11.1618333333333,0,9.24088888888889,0,0,73.8502083333333,15.1569583333333,19.4013888888889,3.17111111111111,35.4521428571429,0,0.17002015,0.0399505555555556,0.0634611111111111,0,0.206556111111111,3.65209523809524,23.0751666666667,1.88842857142857,0,21.2700555555556,2.5557619047619,0,24.1476111111111,0,0,0,7.34144444444444,0,21.5659166666667,3.48655555555556,9.86051851851852,0,0,0,42.9659444444444,81.1293961904762,35.2833333333333,8.44285714285714,16.2545416666667,4.68662222222222,131.751666666667,76.0825,0,0,0,0,0,0,0,0,0,0,0,19.3552380952381,59.5682083333333,25.950375,19.1715833333333,15.4024952380952,4.06127777777778,6.1455,0,14.66275,13.7829444444444,0
2009.75,0,0,23.5412777777778,20.0447222222222,0,0,0,10.7022777777778,59.5379166666667,55.000875,75.9422777777778,45.0595555555556,1.60489571428571,20.408875,0.0647666666666667,0,18.9048198333333,33.92,0,0,0,0,1.62,42.1795,8.43180952380952,3.21045833333333,16.7485555555556,0,2.15725,6.12783333333333,26.6231666666667,6.0735,0,40.3304444444444,31.0798518518519,33.6114444444444,0,0,6.97977777777778,35.2739695238095,0,0,0,0,1.48675,0.799229166666667,0,0,0,0,0,0,0,0,0,0,0,23.5378571428571,52.9513630952381,1.36555416666667,4.80755555555556,0,0,4.78372222222222,0.0511428571428571,0,0,0
2010,0,0,11.1570555555556,4.28277777777778,0,2.54713333333333,6.769,55.29405,0,2.58966666666667,4.242,0,0,0,0,0,0,0,0,0,0,0.0775085714285714,33.7679523809524,28.8068555555556,9.10715238095238,12.4454583333333,22.4405,26.4791666666667,19.6825,199.277,73.4208333333333,42.8816666666667,0,2.00933333333333,7.49481481481482,41.9333333333333,29.1601904761905,0,0,0,0,0,7.37525,0,22.35925,43.3020833333333,0,0,0,0,0,0,0,0,0.120235,0.103575,0.103575,60.1027142857143,36.1530833333333,0,15.2351555555556,12.962380952381,6.10233333333333,0,0,119.103541666667,0,44.3788333333333
2010.25,0,0,41.7073333333333,58.5025833333333,0,0,3.859814375,137.534833333333,3.989625,22.9349375,42.6561666666667,0,0,0.355128875,0.217606111111111,0,0.0690944444444444,0.382774444444444,0,0,5.80875,11.6993085714286,105.808071428571,139.920583333333,63.6042857142857,175.981625,251.9275,106.306333333333,26.0075,325.606666666667,183.859166666667,133.0983125,0,64.6125,86.0816111111111,90.2533333333333,81.7224285714286,0,0,0.137251357142857,0,72.5151428571429,67.513625,0,0,19.4179375,0,0,0,0,0,0,0,0,0,0,0,151.567428571429,193.102375,13.3413125,0,0,90.8185833333333,47.6675,0,349.365625,17.9533333333333,342.1725
