"","t_since","n_dist","inverts","algae"
"1",9,2,0.599776887816957,0.184216678077908
"2",9,1,0.599803862867093,0.184206379143943
"3",9,2,0.599776887816957,0.184216678077908
"4",9,1,0.599803862867093,0.184206379143943
"5",9,2,0.599776887816957,0.184216678077908
"6",9,2,0.599776887816957,0.184216678077908
"7",9,2,0.599776887816957,0.184216678077908
"8",9,1,0.599803862867093,0.184206379143943
"9",9,2,0.599776887816957,0.184216678077908
"10",9,2,0.599776887816957,0.184216678077908
"11",8,3,0.599609337421868,0.184280649229661
"12",8,2,0.599685829807322,0.184251444118738
"13",8,2,0.599685829807322,0.184251444118738
"14",8,1,0.599718743624951,0.184238877602411
"15",8,2,0.599641450442432,0.184268388304369
"16",8,1,0.599718743624951,0.184238877602411
"17",8,2,0.599641450442432,0.184268388304369
"18",8,3,0.599609337421868,0.184280649229661
"19",8,3,0.599609337421868,0.184280649229661
"20",8,1,0.599718743624951,0.184238877602411
"21",7,4,0.599125238354576,0.184465489832878
"22",7,3,0.599158130836176,0.184452930245921
"23",7,3,0.599208654507114,0.184433638544192
"24",7,4,0.599125238354576,0.184465489832878
"25",7,2,0.599437269028117,0.184346347605338
"26",7,4,0.599125238354576,0.184465489832878
"27",7,3,0.599331024063916,0.18438691423832
"28",7,4,0.599125238354576,0.184465489832878
"29",7,3,0.599331024063916,0.18438691423832
"30",7,2,0.599250340264925,0.184417721594521
"31",6,5,0.597723085534763,0.1850009522513
"32",6,4,0.59793984163076,0.184918168000383
"33",6,5,0.597723085534763,0.1850009522513
"34",6,4,0.598298270079012,0.184781282334749
"35",6,3,0.59784959179597,0.184952636170291
"36",6,5,0.597723085534763,0.1850009522513
"37",6,4,0.597755019621937,0.184988755683019
"38",6,5,0.597723085534763,0.1850009522513
"39",6,4,0.597805906993035,0.184969320432966
"40",6,4,0.59793984163076,0.184918168000383
"41",5,4,0.593850885386367,0.186480342113322
"42",5,3,0.596357392873572,0.185522616306615
"43",5,6,0.593730108953851,0.186526499944844
"44",5,6,0.593730108953851,0.186526499944844
"45",5,5,0.594321236418931,0.186300593695339
"46",5,6,0.593730108953851,0.186526499944844
"47",5,5,0.593760175734238,0.186515009066489
"48",5,5,0.593808677741229,0.186496472754637
"49",5,5,0.593760175734238,0.186515009066489
"50",5,5,0.593808677741229,0.186496472754637
"51",4,6,0.587021077704951,0.189091944627834
"52",4,5,0.584273840248039,0.190143146109006
"53",4,6,0.582524754623811,0.1908126194726
"54",4,4,0.5832661184894,0.190528838787124
"55",4,5,0.582743450631642,0.190728903692044
"56",4,7,0.582497168007022,0.190823179668824
"57",4,6,0.587021077704951,0.189091944627834
"58",4,6,0.582569435164606,0.190795515779541
"59",4,6,0.582691577767485,0.190748760155466
"60",4,6,0.582569435164606,0.190795515779541
"61",3,6,0.553434878062581,0.201970827551423
"62",3,6,0.553434878062581,0.201970827551423
"63",3,7,0.551795432979472,0.202600514587331
"64",3,5,0.553632535159955,0.20189491644617
"65",3,5,0.57028695054608,0.195503738387449
"66",3,7,0.551795432979472,0.202600514587331
"67",3,4,0.567762459863826,0.196471833959951
"68",3,6,0.553224686007554,0.20205155421202
"69",3,7,0.563724474787822,0.198020838836565
"70",3,6,0.554009291584295,0.201750224930938
"71",2,8,0.485646822233533,0.228212748978585
"72",2,7,0.479784500711535,0.230477350529852
"73",2,8,0.504517219143441,0.220924205819648
"74",2,5,0.486147622745245,0.228019320866666
"75",2,6,0.477550664133599,0.231340296761829
"76",2,7,0.476885651078047,0.231597199075588
"77",2,6,0.507814729886536,0.219651355010253
"78",2,5,0.494930422584458,0.224627352533403
"79",2,5,0.481737565477045,0.229722907696953
"80",2,8,0.476037295071802,0.231924934229675
"81",1,9,0.327803565291013,0.295062021089905
"82",1,7,0.380205668399603,0.274088181845817
"83",1,7,0.328022869560686,0.294974752286235
"84",1,7,0.392099195449439,0.269334406404197
"85",1,10,0.327730812462766,0.295090971581721
"86",1,10,0.327730812462766,0.295090971581721
"87",1,7,0.337271392077837,0.291292276514529
"88",1,8,0.333594747657692,0.29275639712028
"89",1,8,0.333558035870392,0.292771011766719
"90",1,8,0.345889691270116,0.287852528711374
"91",0,8,0.193776025546236,0.528892315327634
"92",0,7,0.170829471165007,0.54457413208648
"93",0,7,0.19684507605497,0.526871282243125
"94",0,7,0.273770711950431,0.470107742138497
"95",0,6,0.199994135607964,0.524780420347294
"96",0,8,0.209567271038488,0.518243593103024
"97",0,11,0.169290686647855,0.545584142988796
"98",0,7,0.179366670169981,0.538917079682847
"99",0,7,0.245621434326417,0.489029817236829
"100",0,8,0.178099538577536,0.539750910452496
"101",9,1,0.599803862867093,0.184206379143943
"102",9,1,0.599803862867093,0.184206379143943
"103",9,2,0.599776887816957,0.184216678077908
"104",9,1,0.599803862867093,0.184206379143943
"105",9,1,0.599803862867093,0.184206379143943
"106",9,1,0.599803862867093,0.184206379143943
"107",9,1,0.599803862867093,0.184206379143943
"108",9,2,0.599776887816957,0.184216678077908
"109",9,1,0.599803862867093,0.184206379143943
"110",9,1,0.599803862867093,0.184206379143943
"111",8,2,0.599685829807322,0.184251444118738
"112",8,2,0.599685829807322,0.184251444118738
"113",8,2,0.599685829807322,0.184251444118738
"114",8,2,0.599641450442432,0.184268388304369
"115",8,1,0.599718743624951,0.184238877602411
"116",8,1,0.599718743624951,0.184238877602411
"117",8,2,0.599685829807322,0.184251444118738
"118",8,2,0.599685829807322,0.184251444118738
"119",8,1,0.599718743624951,0.184238877602411
"120",8,2,0.599685829807322,0.184251444118738
"121",7,3,0.599208654507114,0.184433638544192
"122",7,2,0.599377773060745,0.18436906437193
"123",7,3,0.599158130836176,0.184452930245921
"124",7,4,0.599125238354576,0.184465489832878
"125",7,2,0.599437269028117,0.184346347605338
"126",7,3,0.599158130836176,0.184452930245921
"127",7,1,0.599472776833988,0.184332790115433
"128",7,3,0.599331024063916,0.18438691423832
"129",7,2,0.599437269028117,0.184346347605338
"130",7,1,0.599472776833988,0.184332790115433
"131",6,2,0.598483786165327,0.184710436130596
"132",6,2,0.598483786165327,0.184710436130596
"133",6,2,0.598483786165327,0.184710436130596
"134",6,2,0.598719863682182,0.184620284365488
"135",6,1,0.598756494787644,0.18460629623841
"136",6,4,0.598298270079012,0.184781282334749
"137",6,2,0.598115130834404,0.184851223158405
"138",6,3,0.59806875919204,0.184868932796767
"139",6,2,0.598654246152083,0.184645341600698
"140",6,2,0.598115130834404,0.184851223158405
"141",5,4,0.59548760727434,0.185854913714858
"142",5,2,0.596679323767144,0.185399636161455
"143",5,2,0.596611522916624,0.185425536084488
"144",5,1,0.596716345121776,0.185385494124117
"145",5,5,0.593760175734238,0.186515009066489
"146",5,1,0.596716345121776,0.185385494124117
"147",5,1,0.596716345121776,0.185385494124117
"148",5,4,0.595689036358919,0.185777954525152
"149",5,1,0.596716345121776,0.185385494124117
"150",5,3,0.595768569361688,0.185747568372891
"151",4,2,0.590103822599153,0.187912852638507
"152",4,2,0.590634709589889,0.187709851824193
"153",4,3,0.585372402269277,0.189722745658764
"154",4,2,0.590826273545043,0.187636605436693
